"PlotID","resolution","approach","buffer","distance"
200,"low","minimalistic",FALSE,63.2090638427481
202,"low","minimalistic",FALSE,34.3799751721924
203,"low","minimalistic",FALSE,14.3992800160325
205,"low","minimalistic",FALSE,19.1091075778121
212,"low","minimalistic",FALSE,15.8070841096567
213,"low","minimalistic",FALSE,8.87755298060517
215,"low","minimalistic",FALSE,24.8718407295318
217,"low","minimalistic",FALSE,27.6358793124859
222,"low","minimalistic",FALSE,27.0881891360319
228,"low","minimalistic",FALSE,55.0622894930664
232,"low","minimalistic",FALSE,19.3006157757197
233,"low","minimalistic",FALSE,39.166005162201
236,"low","minimalistic",FALSE,29.1387180224297
238,"low","minimalistic",FALSE,12.3279459992412
239,"low","minimalistic",FALSE,25.8748052616523
200,"low","normal",FALSE,60.8210561751165
202,"low","normal",FALSE,36.5235569994924
203,"low","normal",FALSE,19.5966107905856
205,"low","normal",FALSE,28.284664843085
212,"low","normal",FALSE,20.9866603535696
213,"low","normal",FALSE,23.2017540591428
215,"low","normal",FALSE,36.3923396495671
217,"low","normal",FALSE,36.0760514687118
222,"low","normal",FALSE,29.0062706757395
228,"low","normal",FALSE,61.0335037356984
232,"low","normal",FALSE,30.932888225247
233,"low","normal",FALSE,49.9653838534038
236,"low","normal",FALSE,37.121249262488
238,"low","normal",FALSE,17.5559892122853
239,"low","normal",FALSE,28.5181307683011
200,"high","minimalistic",FALSE,52.2720848353994
202,"high","minimalistic",FALSE,26.5143461698963
203,"high","minimalistic",FALSE,23.651973149668
205,"high","minimalistic",FALSE,12.6891084112269
212,"high","minimalistic",FALSE,16.8695865000773
213,"high","minimalistic",FALSE,18.3171898293215
215,"high","minimalistic",FALSE,33.2335765702499
217,"high","minimalistic",FALSE,26.5907827019655
222,"high","minimalistic",FALSE,9.3419462545223
228,"high","minimalistic",FALSE,37.9363645844686
232,"high","minimalistic",FALSE,20.0356137972759
233,"high","minimalistic",FALSE,50.9498694391006
236,"high","minimalistic",FALSE,25.8004994058986
238,"high","minimalistic",FALSE,26.8086128846504
239,"high","minimalistic",FALSE,22.6175813199406
200,"high","normal",FALSE,50.6112546091633
202,"high","normal",FALSE,31.9928123807868
203,"high","normal",FALSE,30.3459896523403
205,"high","normal",FALSE,27.4670951226629
212,"high","normal",FALSE,23.4553020110848
213,"high","normal",FALSE,27.7379426618326
215,"high","normal",FALSE,48.2123138494599
217,"high","normal",FALSE,32.0341248755906
222,"high","normal",FALSE,12.5606381583184
228,"high","normal",FALSE,44.5400406278691
232,"high","normal",FALSE,29.3360642939632
233,"high","normal",FALSE,61.9033687255561
236,"high","normal",FALSE,29.9679411688955
238,"high","normal",FALSE,37.5158786009311
239,"high","normal",FALSE,27.4925055116339
200,"low","minimalistic",TRUE,66.7991389604036
202,"low","minimalistic",TRUE,32.3151537547031
203,"low","minimalistic",TRUE,22.5115373774582
205,"low","minimalistic",TRUE,13.1326246947135
212,"low","minimalistic",TRUE,15.022178293095
213,"low","minimalistic",TRUE,9.0705382853453
215,"low","minimalistic",TRUE,20.2536696575673
217,"low","minimalistic",TRUE,22.0706329958191
222,"low","minimalistic",TRUE,29.4874228332233
228,"low","minimalistic",TRUE,55.1453550830687
232,"low","minimalistic",TRUE,19.3006157757197
233,"low","minimalistic",TRUE,37.3625707766241
236,"low","minimalistic",TRUE,31.3581365899295
238,"low","minimalistic",TRUE,11.1184496428291
239,"low","minimalistic",TRUE,16.5092194212559
200,"low","normal",TRUE,61.606672998336
202,"low","normal",TRUE,34.5085174263618
203,"low","normal",TRUE,14.27808533521
205,"low","normal",TRUE,21.6202043014952
212,"low","normal",TRUE,16.2176436406573
213,"low","normal",TRUE,15.5488393332712
215,"low","normal",TRUE,31.1712255937533
217,"low","normal",TRUE,28.4521349876168
222,"low","normal",TRUE,27.2522934028291
228,"low","normal",TRUE,57.076647739076
232,"low","normal",TRUE,25.2270682455443
233,"low","normal",TRUE,45.3327448663137
236,"low","normal",TRUE,34.0260637687479
238,"low","normal",TRUE,12.5455702887247
239,"low","normal",TRUE,23.8539081599704
200,"high","minimalistic",TRUE,53.5066850372799
202,"high","minimalistic",TRUE,21.5792288266876
203,"high","minimalistic",TRUE,9.48315461450579
205,"high","minimalistic",TRUE,8.54634016930565
212,"high","minimalistic",TRUE,13.8880761578298
213,"high","minimalistic",TRUE,16.4765526663952
215,"high","minimalistic",TRUE,24.6106532627384
217,"high","minimalistic",TRUE,17.4746550547994
222,"high","minimalistic",TRUE,11.3068403203015
228,"high","minimalistic",TRUE,37.6615167910079
232,"high","minimalistic",TRUE,18.5884934342257
233,"high","minimalistic",TRUE,37.9224522628833
236,"high","minimalistic",TRUE,27.6672193011888
238,"high","minimalistic",TRUE,14.5413482460982
239,"high","minimalistic",TRUE,10.6029541680169
200,"high","normal",TRUE,50.9941464818382
202,"high","normal",TRUE,28.0309888170042
203,"high","normal",TRUE,23.8225423392195
205,"high","normal",TRUE,18.2067922246092
212,"high","normal",TRUE,18.8245514713426
213,"high","normal",TRUE,21.1612562194436
215,"high","normal",TRUE,38.1818337048212
217,"high","normal",TRUE,27.12376158736
222,"high","normal",TRUE,8.8964195243452
228,"high","normal",TRUE,40.5631917443943
232,"high","normal",TRUE,23.5301899709028
233,"high","normal",TRUE,55.509626874796
236,"high","normal",TRUE,26.3308457081393
238,"high","normal",TRUE,30.8926883981301
239,"high","normal",TRUE,22.7253627784975
